GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Kiaa0754	Q69ZZ9	-0.5760558	0.009446192	1	0.899	1.016	0.963	1.159	0.631	0.781	0.623	0.673
Kiaa0907	Q3TCX3	0.3589051	0.02715284	2	1.115	0.917	0.973	1.024	1.258	1.302	1.397	1.21
Kiaa1033	Q3UMB9	0.02562328	0.6634641	9	0.965	1.06	0.995	0.998	1.02	0.981	0.997	1.092
Kiaa1109	A2AAE1	-0.217348	0.01971122	2	0.917	1.052	0.994	1.034	0.773	1	0.808	0.857
Kiaa1161	Q69ZQ1	-0.4579896	0.01430979	4	1.041	0.973	0.989	0.997	0.672	0.828	0.764	0.648
Kiaa1211	Q5PR69	0.4111118	0.3007197	1	1.209	0.875	1.244	0.536	1.238	1.522	1	1.378
Kiaa1468	Q148V7	0.08013128	0.1606988	6	0.976	1.008	1.022	0.986	1.037	1.007	1.049	1.127
Kiaa1522	A2A7S8	0.3495293	0.01136025	1	0.82	1.076	1.044	1.036	0.953	1.407	1.322	1.384
Kiaa2013	Q91X21	0.2159487	0.000503091	5	1.061	0.985	0.957	1.004	1.198	1.142	1.126	1.188
Kif13a	Q9EQW7	-0.3760095	0.01270521	6	0.979	0.978	0.972	1.046	0.729	0.874	0.711	0.749
Kif16b	B1AVY7	-0.2401595	0.05777059	5	1.019	0.961	0.978	1.059	0.858	0.942	0.811	0.79
Kif1b	Q60575	-0.1913226	0.1315098	14	1.02	0.975	0.973	1.082	0.854	0.979	0.908	0.806
Kif1bp	Q6ZPU9	-0.1062703	0.01285686	7	0.964	0.968	1.01	1.015	0.904	0.927	0.933	0.912
Kif1c	O35071	-0.3042195	0.03559384	11	0.997	0.981	0.973	1.057	0.789	0.892	0.837	0.728
Kif21a	Q9QXL2	-0.6559687	3.72E-05	4	0.938	1.079	1.024	0.936	0.564	0.696	0.682	0.582
Kif2a	P28740	-0.2623938	0.07054828	10	1.008	0.999	0.968	1.078	0.801	0.949	0.874	0.755
Kif3a	P28741	-0.1066924	0.02408856	10	1	1.008	1.003	0.973	0.964	0.936	0.887	0.913
Kif3b	Q61771	-0.1079752	0.2406188	10	1.01	0.981	0.98	1.009	0.884	0.992	0.991	0.826
Kif5b	Q61768	-0.02723175	0.635281	31	1.056	0.967	0.98	1.008	0.976	1.042	0.978	0.94
Kifap3	P70188	-0.2658053	0.04968646	2	1.044	0.874	0.992	1.155	0.91	0.788	0.856	0.827
Kin	Q8K339	0.5795466	0.006443933	1	0.944	0.994	1.331	1.179	1.719	1.389	1.826	1.713
Kitlg	P20826	-0.5186525	0.009276038	1	1.017	0.886	1.085	1.009	0.748	0.61	0.638	0.794
Klc1	O88447	-0.1193369	0.1172839	6	0.989	0.951	1.065	0.925	0.857	0.87	0.942	0.949
Klc2	O88448	0.2311786	0.001529485	8	0.999	0.991	1.035	0.974	1.186	1.167	1.165	1.176
Klc4	Q9DBS5	-0.122368	0.2221177	10	1.011	0.978	1.052	0.894	0.885	0.848	0.912	0.97
Klf13	Q9JJZ6	0.6134795	0.0066489	2	0.907	1.091	0.974	1.002	1.342	1.678	1.69	1.37
Klhdc10	Q6PAR0	1.192367	0.5191767	1	0	0	3.239	0	2.683	2.458	0	2.261
Klhdc4	Q921I2	-0.1497138	0.3843035	2	0.908	1.043	0.896	1.211	0.864	0.965	0.991	0.838
Klhl10	Q9D5V2	1.098284	0.003611156	1	0.96	0.896	1.338	0.65	1.996	1.68	2.486	2.068
Klhl22	Q99JN2	-0.1923883	0.002245696	5	1.018	0.954	0.995	1.046	0.875	0.831	0.85	0.956
Klhl42	Q8BFQ9	-0.188086	0.04751198	3	1.062	0.989	0.986	0.98	0.841	0.952	0.874	0.859
Klhl9	Q6ZPT1	-0.1725594	0.2252285	2	0.836	0.904	1.121	1.113	0.86	0.905	0.848	0.913
Kng1	O08677	0.2604264	0.2140482	1	0.886	1.141	0.991	0.95	1.29	1.102	0.991	1.37
Kpna1	Q60960	0.07885542	0.1614098	3	1.021	1.001	0.99	0.993	1.079	1	1.018	1.133
Kpna2	P52293	0.01396049	0.9432171	3	1.012	1.042	0.998	0.856	1.105	0.711	1.024	1.106
Kpna3	O35344	0.03773363	0.6270811	4	1.062	0.968	1.04	0.93	1.097	1.006	0.937	1.066
Kpna4	O35343	-0.2027628	0.1046433	4	1.033	1.018	1.053	0.923	0.909	0.81	0.83	0.95
Kpna6	O35345	0.1407861	0.3143905	7	1.002	0.986	1.06	0.903	1.194	0.924	1.044	1.194
Kpnb1	P70168	0.1933748	0.04205169	17	0.992	0.982	1.026	0.953	1.173	1.06	1.094	1.193
Kras	P32883	-0.189202	0.02065082	2	1.022	1.026	0.969	0.929	0.832	0.894	0.868	0.867
Kri1	Q8VDQ9	0.3965621	0.02342803	1	0.933	1.099	0.943	1.033	1.451	1.419	1.206	1.2
Krit1	Q6S5J6	-0.3743955	0.03790289	2	0.945	1.125	0.945	0.975	0.784	0.706	0.797	0.791
Krt1	P04104	0.1788591	0.7608761	1	0.866	1.016	0.884	1.348	0.548	2.212	1.205	0.692
Krt10	P02535	0.002846255	0.9920592	5	0.852	0.877	1.028	1.294	0.658	1.332	1.161	0.908
Krt13	P08730	-0.3079119	0.5639778	3	1.543	0.68	0.778	0.917	0.638	1.185	0.708	0.634
Krt14	Q61781	-0.08679656	0.7882824	1	0.851	0.824	1.128	1.256	0.519	1.3	1.154	0.849
Krt16	Q9Z2K1	-0.4329958	0.3870389	4	0.683	0.539	1.631	1.108	0.411	0.959	0.821	0.743
Krt17	Q9QWL7	-0.2813168	0.4461299	7	0.737	0.658	1.449	1.079	0.47	1.009	0.84	0.909
Krt2	Q3TTY5	0.07521739	0.8602128	4	0.96	0.879	0.896	1.413	0.651	1.599	1.241	0.879
Krt25	Q8VCW2	-0.5226446	0.3401907	1	1.038	1.03	0.611	1.546	0.277	0.935	0.988	0.741
Krt26	Q3TRJ4	0.6268778	0.6819161	1	0.523	0.724	1.506	1.148	0.209	4.76	0.741	0.314
Krt33a	Q8K0Y2	5.0359	0.2913096	1	0	1.283	0.792	1.745	100	23.053	1.063	1.204
Krt33b	Q61897	2.99613	0.2675272	3	1.532	1.228	1.023	1.91	32.574	9.703	1.801	1.344
Krt35	Q497I4	1.102718	0.3550536	5	1.022	1.011	1.016	1.057	5.376	1.727	0.894	0.821
Krt4	P07744	-0.5238494	0.175119	1	1.445	0.792	0.884	0.958	0.675	0.854	0.707	0.601
Krt42	Q6IFX2	-0.04089335	0.9023404	4	0.858	0.734	1.215	1.129	0.539	1.316	1.068	0.903
Krt5	Q922U2	0.07405409	0.8350169	8	0.938	0.879	0.999	1.228	0.61	1.515	1.23	0.902
Krt6a	P50446	-0.3716907	0.3463209	4	0.847	0.571	1.489	1.06	0.555	0.832	0.77	0.909
Krt71	Q9R0H5	-0.2477513	0.2785087	5	0.938	1.116	0.868	1.172	0.611	0.991	1.038	0.808
Krt72	Q6IME9	0.007313618	0.9877347	1	0.914	0.923	0.83	1.465	0.51	1.669	1.126	0.848
Krt73	Q6NXH9	-1.892697	0.2665964	1	2.689	0.4	0.505	0.654	0.22	0.409	0.226	0.289
Krt75	Q8BGZ7	0.0948785	0.7942964	1	1.003	0.902	0.949	1.221	0.624	1.581	1.186	0.961
Krt76	Q3UV17	0.05425214	0.9116635	1	0.895	0.884	0.946	1.372	0.519	1.618	1.383	0.734
Krt77	Q6IFZ6	0.06560455	0.8756031	1	0.691	0.812	1.306	1.146	0.586	1.651	1.125	0.777
Krt79	Q8VED5	0.04042963	0.9428152	1	1.098	0.745	0.91	1.399	0.542	1.722	1.214	0.792
Krt8	P11679	-0.2296287	0.4116524	1	1	1.256	0.721	1.087	0.596	1.337	0.882	0.651
Krt80	Q0VBK2	0.0215228	0.9623384	2	0.94	0.84	0.928	1.417	0.576	1.575	1.208	0.828
Krt81	Q9ERE2	1.497896	0.2314035	2	1.024	1.211	1.043	1.042	6.804	2.893	1.249	1.255
Krt82	Q99M74	4.947516	0.2861723	2	0	1.745	0.822	1.553	100	25.332	0.889	0.909
Krt85	Q9Z2T6	3.81612	0.304645	2	0.823	1.304	0.746	1.452	48.563	11.043	0.855	0.458
Krtcap2	Q5RL79	-0.3333307	0.01752738	1	1.037	0.998	0.942	1.056	0.743	0.872	0.802	0.784
Ksr1	Q61097	-0.2733634	0.000460041	8	1	0.984	1.023	1.002	0.799	0.832	0.857	0.829
Kti12	Q9D1R2	0.2732289	0.01210251	6	1.095	0.923	1.034	0.967	1.239	1.201	1.176	1.241
Ktn1	Q61595	0.2390977	0.02164596	38	1.038	0.996	0.993	0.984	1.138	1.265	1.224	1.107
Kxd1	Q80XH1	-0.08638763	0.6034546	2	0.976	1.015	1.092	0.857	0.984	0.796	0.88	1.051
Kyat1	Q8BTY1	0.9215015	0.009187844	6	1.011	1.037	0.949	1.044	1.757	2.19	2.105	1.602
Kyat3	Q71RI9	-0.0914062	0.108245	9	0.996	1.027	0.946	1.038	0.91	0.956	0.963	0.932
L2hgdh	Q91YP0	0.3333502	0.003466644	10	1.036	0.996	0.968	1.051	1.266	1.282	1.307	1.249
L3hypdh	Q9CXA2	-0.02399095	0.3757782	8	1.008	1.005	1.001	0.988	0.99	0.945	0.999	1.002
Lace1	Q3V384	0.532098	0.002534884	9	0.996	0.986	1.029	0.982	1.467	1.328	1.434	1.545
Lactb	Q9EP89	-0.06385138	0.3043256	9	0.944	0.996	1	1.056	0.962	0.974	0.975	0.912
Lactb2	Q99KR3	0.225892	0.2284927	10	0.998	1.057	1.078	0.808	1.222	0.993	1.138	1.256
Lage3	Q9CR70	0.1503099	0.1112318	3	0.99	0.975	0.994	1.048	1.118	1.217	1.031	1.081
Lama1	P19137	0.4117074	0.004968556	1	1.047	1.002	0.968	0.995	1.321	1.378	1.401	1.237
Lama2	Q60675	-1.611691	0.3028348	1	0	0.793	1.849	1.117	0.631	0	0	0.599
Lama4	P97927	0.7610433	0.000515631	26	1.013	1.006	0.982	0.992	1.662	1.826	1.654	1.625
Lamb1	P02469	0.527039	0.000449553	31	1.006	1.003	1.019	0.936	1.462	1.453	1.381	1.416
Lamb2	Q61292	0.231433	0.01204257	6	0.961	0.972	0.998	1.046	1.071	1.232	1.169	1.197
Lamc1	P02468	0.8250658	0.000887257	27	1.015	1.005	1.051	0.896	1.852	1.681	1.712	1.783
Lamp1	P11438	-0.174436	0.004343291	5	1.056	0.984	0.989	0.975	0.904	0.899	0.869	0.876
Lamp2	P17047	-0.08456146	0.1595222	5	0.967	0.992	1.03	1.016	0.977	0.958	0.895	0.947
Lamtor1	Q9CQ22	0.005398641	0.9552773	5	0.977	0.993	1.103	0.928	1.057	0.893	1.001	1.065
Lamtor2	Q9JHS3	-0.08839812	0.5829999	4	0.964	1.127	0.985	0.878	1.023	0.789	0.956	0.951
Lamtor5	Q9D1L9	0.4305855	0.3738023	1	0.825	1.138	1.27	0.574	1.861	0.904	1.093	1.273
Lancl1	O89112	-0.4011483	0.01051986	5	1.016	1.001	1.01	1.039	0.873	0.682	0.694	0.83
Lancl2	Q9JJK2	-0.05486757	0.6593096	5	0.962	1.04	1.014	0.95	1.004	0.875	0.851	1.088
Lap3	Q9CPY7	0.2303213	0.000144662	18	1.014	0.985	1.006	0.987	1.195	1.138	1.179	1.171
Large1	Q9Z1M7	-0.01717732	0.9028471	1	1.034	1.035	1.015	0.887	0.775	1.151	1.132	0.866
Larp1	Q6ZQ58	0.1160254	0.3289462	21	1.008	0.961	0.981	1.098	1.015	1.216	1.13	1.026
Larp4	Q8BWW4	0.2776328	0.0358748	9	1.022	1.004	0.966	1.023	1.188	1.309	1.278	1.092
Larp4b	Q6A0A2	-0.03518943	0.8110174	11	1.001	1.03	0.935	1.101	0.885	1.154	1.074	0.856
Larp6	Q8BN59	 -Inf 	0.3910022	1	0	0	3.239	0	0	0	0	0
Larp7	Q05CL8	0.2244685	0.01650889	7	0.965	1.012	1.007	0.984	1.065	1.255	1.213	1.103
Lars	Q8BMJ2	0.1828555	0.1757936	32	0.986	1.016	0.936	1.073	1.07	1.273	1.196	1.014
Lars2	Q8VDC0	0.01309138	0.8701997	13	1.019	1.016	0.96	1.064	1	1.104	1.054	0.938
Las1l	A2BE28	0.2244158	0.3875417	2	0.663	1.104	1.121	0.98	1.045	0.878	1.146	1.45
Lasp1	Q61792	-0.8296286	0.001063389	7	0.958	0.984	1.103	0.904	0.48	0.632	0.605	0.505
Lats1	Q8BYR2	-0.1801362	0.3567051	1	1.087	0.838	1.14	0.905	0.797	1.034	0.97	0.703
Lbr	Q3U9G9	0.3507438	0.02908022	6	0.989	1.038	0.942	1.046	1.119	1.459	1.31	1.232
Lclat1	Q3UN02	0.1167777	0.0475688	5	0.952	1.021	0.982	1.054	1.099	1.128	1.017	1.103
Lcmt2	Q8BYR1	-0.4525705	0.3895369	1	0.92	0.742	1.358	0.887	1.282	0	0.711	0.862
Lcn2	P11672	0.1442362	0.1747432	2	0.916	1.06	0.944	1.103	1.022	1.258	1.126	1.04
Ldah	Q8BVA5	0.02565492	0.8368885	6	1.009	0.993	1.026	0.985	1.095	0.881	0.911	1.198
Ldb1	P70662	-0.5562477	0.03283813	3	0.958	0.95	0.982	1.189	0.716	0.807	0.605	0.646
Ldha	P06151	0.5024791	0.002339758	12	1.068	1.004	0.982	0.935	1.515	1.324	1.359	1.453
Ldhb	P16125	-0.8760543	0.002466408	7	1.014	0.983	1.043	0.906	0.556	0.487	0.515	0.592
Ldlr	P35951	0.2676604	0.09067531	6	1.064	0.977	1.077	0.826	1.253	1.044	1.191	1.26
Ldlrap1	Q8C142	-0.6345881	0.002467319	3	0.964	1.019	1.073	1.114	0.545	0.724	0.618	0.799
Lemd2	Q6DVA0	-0.1536839	0.1059671	9	1.053	0.957	1.084	0.914	0.937	0.888	0.869	0.909
Lemd3	Q9WU40	0.147967	0.3241783	7	1.002	0.948	0.978	1.081	1.046	1.173	1.263	0.96
Leng1	Q9DB98	0.06212854	0.6764661	3	0.87	1.035	1.039	1.101	0.889	0.962	1.364	1.008
Leng8	Q8CBY3	0.01378151	0.9117018	4	1.004	0.982	0.9	1.073	0.981	1.046	1.086	0.884
Leo1	Q5XJE5	0.4371257	0.1404155	2	0.933	1.063	1.021	0.953	1.529	1.048	1.14	1.658
Leprot	O89013	-0.5286706	0.000297943	1	0.97	0.994	1.026	1.006	0.657	0.725	0.727	0.661
Letm1	Q9Z2I0	0.3122516	0.003000576	17	1.03	0.993	1.009	1.007	1.281	1.195	1.213	1.326
Letm2	Q7TNU7	0.01572435	0.94438	1	0.818	1.018	1.025	1.154	1.019	0.615	1.249	1.176
Letmd1	Q924L1	-0.03244606	0.6038191	11	0.98	1.065	0.95	1.007	0.948	0.938	0.994	1.033
Lgals1	P16045	-0.1666877	0.5998378	7	0.963	0.995	1.163	0.774	1.146	0.579	0.738	1.007
Lgals12	Q91VD1	-0.5432755	0.003118398	6	1.017	0.995	0.945	1.068	0.697	0.729	0.684	0.652
Lgals3	P16110	0.05250613	0.560601	8	0.977	1.145	0.947	0.924	0.963	1.2	1.133	0.845
Lgals3bp	Q07797	-0.09533885	0.1855348	6	0.99	1.017	1.015	0.95	0.994	0.882	0.895	0.947
Lgals8	Q9JL15	-0.1274235	0.00511695	2	0.999	0.991	0.974	1.058	0.929	0.93	0.873	0.95
Lgals9	O08573	-0.6325372	0.00360359	2	1.016	1.02	0.932	1.055	0.655	0.694	0.663	0.583
Lgalsl	Q8VED9	-0.2678587	0.07606988	5	0.98	1.048	1.053	0.873	0.863	0.777	0.784	0.86
Lgmn	O89017	-0.6354911	0.00301613	4	0.977	1.034	1.079	0.876	0.64	0.632	0.653	0.628
Lias	Q99M04	0.770356	0.000282988	9	1.065	0.984	1.034	0.906	1.745	1.612	1.743	1.704
Lifr	P42703	-0.8499966	0.003406822	1	1.011	0.897	1.006	1.129	0.497	0.603	0.489	0.654
Lig3	P97386	0.5618674	0.1104636	3	1.041	0.997	0.898	1.115	1.257	1.673	1.887	1.163
Lima1	Q9ERG0	0.01452512	0.7273938	14	0.912	0.997	1.06	0.984	1	0.988	1.042	0.963
Limd1	Q9QXD8	0.1577044	0.0268871	3	1.154	0.969	1.004	0.838	1.259	1.008	1.153	1.003
Limd2	Q8BGB5	-0.863348	0.01664323	2	0.915	1.065	0.95	1.076	0.42	0.653	0.725	0.404
Limk1	P53668	-0.2478591	0.1898087	1	0.956	1.159	0.982	0.856	0.569	0.983	1.044	0.733
Lims1	Q99JW4	-0.06730557	0.6479252	6	0.975	1.066	1.071	0.837	1	0.842	0.919	1.008
Lims2	Q91XD2	-1.035642	0.009629921	2	0.963	1.034	1.095	0.842	0.529	0.405	0.439	0.546
Lin7c	O88952	-0.06376771	0.2385145	8	0.99	1.02	1.006	0.962	0.955	0.896	0.977	0.978
Lipa	Q9Z0M5	-0.5918008	0.002198963	3	1.012	1.056	0.972	0.978	0.681	0.631	0.634	0.72
Lipe	P54310	-0.1182954	0.002957186	28	1.013	1.003	0.979	1.019	0.934	0.944	0.903	0.917
Lipt1	Q8VCM4	0.3681544	0.01875491	7	0.966	1.069	0.966	1.01	1.258	1.259	1.434	1.226
Lipt2	Q9D009	0.1612706	0.003610941	4	1.01	1.019	0.996	1.025	1.126	1.109	1.155	1.139
Lix1l	Q8BQ89	-1.123255	0.002716489	1	1.039	0.86	1.045	1.086	0.441	0.488	0.473	0.448
Llgl1	Q80Y17	-0.1578097	0.3554181	2	1.178	0.911	1.115	0.724	0.923	0.895	0.858	0.845
Lman1	Q9D0F3	0.04647443	0.4145528	11	1.018	0.951	0.982	1.081	1.038	1.068	1.029	1.029
Lman2	Q9DBH5	0.0960871	0.06183073	10	1.03	0.962	1.029	0.972	1.12	1.014	1.041	1.093
Lman2l	P59481	0.2918947	0.000290292	3	1.037	0.967	0.939	1.008	1.231	1.179	1.178	1.249
Lmbrd1	Q8K0B2	-0.3518675	0.0009136	1	1.039	0.997	0.941	1.052	0.792	0.826	0.714	0.825
Lmbrd2	Q8C561	0.2549319	0.0170932	2	1.052	1.011	0.919	0.976	1.142	1.218	1.104	1.259
Lmf1	Q3U3R4	-0.2045149	0.007299094	5	1.024	1.039	0.929	1.018	0.874	0.88	0.857	0.869
Lmf2	Q8C3X8	0.02016304	0.8433932	3	1.044	1.064	0.946	0.996	1.082	0.888	1.075	1.062
Lmna	P48678	-0.5243317	0.000385699	36	0.991	0.961	1.045	0.987	0.717	0.683	0.699	0.671
Lmnb1	P14733	0.113197	0.007330272	14	1.061	0.967	1.022	0.944	1.124	1.068	1.079	1.049
Lmnb2	P21619	-0.01204229	0.6578688	10	1.023	0.966	1.047	0.934	1.029	0.991	0.993	0.924
Lmod1	Q8BVA4	-0.708485	0.01650343	4	1.036	0.937	0.936	1.137	0.566	0.717	0.633	0.56
Lmtk2	Q3TYD6	-0.3886971	0.05155168	4	0.933	1.027	1.067	0.953	0.86	0.708	0.669	0.803
Lnp	Q7TQ95	0.2777952	0.007354888	10	1.028	0.958	1.002	1.015	1.162	1.247	1.235	1.209
Lnpep	Q8C129	-0.3643782	0.003631077	20	1.015	0.986	1.03	0.961	0.794	0.761	0.742	0.804
Lonp1	Q8CGK3	1.056486	4.39E-05	27	1.04	0.985	1.01	0.947	2.1	2.009	2.067	2.106
Lonp2	Q9DBN5	0.2003519	0.008007964	24	1.03	0.969	0.976	1.039	1.146	1.187	1.12	1.159
Lox	P28301	-0.8274976	0.01213774	4	0.928	1.095	0.902	1.114	0.471	0.709	0.635	0.461
Loxl1	P97873	-0.49883	0.01925973	6	1.002	0.996	0.927	0.968	0.637	0.86	0.695	0.563
Lpcat1	Q3TFD2	-0.7936445	0.00113186	1	0.944	1.026	0.952	1.11	0.591	0.603	0.541	0.591
Lpcat3	Q91V01	0.1745524	0.02734952	8	1.035	0.986	0.98	1.011	1.184	1.023	1.125	1.196
Lpgat1	Q91YX5	-0.2351503	0.05790066	3	0.956	1.086	1.006	1.041	0.934	0.878	0.749	0.913
Lpin1	Q91ZP3	-0.1619103	0.001432916	19	0.996	1.026	0.982	0.99	0.883	0.897	0.89	0.9
Lpl	P11152	0.1077164	0.08570461	13	1.013	0.993	0.995	0.985	1.044	1.08	1.155	1.016
Lpp	Q8BFW7	-0.4156347	0.002131477	12	1.012	1.006	1.017	0.992	0.733	0.811	0.79	0.685
Lrba	Q9ESE1	0.007640062	0.9025944	10	0.977	0.969	0.981	1.028	1.007	1.059	0.981	0.929
Lrch1	P62046	-0.2094193	0.1146211	2	1.078	0.929	1.011	0.949	0.816	0.741	1.033	0.841
Lrch3	Q8BVU0	-0.4635078	0.01392447	7	1.115	0.948	0.952	1.061	0.743	0.741	0.784	0.688
Lrch4	Q921G6	0.1137058	0.169759	5	1.019	0.952	0.954	1.087	1.072	1.064	1.144	1.061
Lrig1	P70193	-0.6199652	0.002175658	11	1.018	0.943	1.032	1.012	0.667	0.693	0.626	0.62
Lrig2	Q52KR2	0.367197	0.1780272	1	0.936	1.237	0.78	1.094	1.072	1.683	1.455	1.01
Lrp1	Q91ZX7	-0.7098048	0.000299975	65	0.99	0.995	1.008	1.006	0.616	0.656	0.595	0.578
Lrp10	Q7TQH7	0.1442709	0.1092337	1	1.055	0.952	0.956	1.078	1.169	1.149	1.095	1.053
Lrp5	Q91VN0	-0.7306741	0.003888113	1	1.06	0.945	1.078	0.883	0.634	0.63	0.561	0.565
Lrp6	O88572	-1.692628	0.1892579	1	2.307	0.67	0.598	0.569	0.324	0.331	0.305	0.322
Lrpap1	P55302	-0.1581567	0.3080586	12	1.006	0.996	1.104	0.862	0.98	0.78	0.838	0.958
Lrpprc	Q6PB66	0.2490801	0.01224465	41	1.02	0.974	0.999	1.024	1.24	1.101	1.136	1.297
Lrrc14	Q8VC16	0.1277919	0.1748917	4	0.979	1.022	1.041	0.996	1.149	1.012	1.057	1.194
Lrrc40	Q9CRC8	0.04124785	0.4787149	11	1.02	0.958	0.97	1.086	1.003	1.053	1.057	1.038
Lrrc47	Q505F5	0.2963621	0.001584667	15	1.045	0.981	1.021	0.961	1.217	1.251	1.25	1.204
Lrrc57	Q9D1G5	0.323215	0.01370766	5	1.007	1.001	1.03	0.996	1.332	1.111	1.325	1.279
Lrrc58	Q3UGP9	-1.360284	0.000358215	5	1.049	0.972	1.036	0.907	0.421	0.35	0.375	0.398
Lrrc59	Q922Q8	0.3943967	0.008689995	11	1.081	0.996	0.992	0.926	1.286	1.3	1.444	1.221
Lrrc8a	Q80WG5	0.3884698	0.01479413	2	1.016	0.984	1.027	0.96	1.249	1.422	1.207	1.341
Lrrc8d	Q8BGR2	-0.1913067	0.1456352	1	0.91	1.074	0.975	1.043	0.877	0.824	0.977	0.827
Lrrfip1	Q3UZ39	-0.05709926	0.4678719	4	0.865	1.05	1.048	0.954	0.921	0.909	0.961	0.974
Lrrfip2	Q91WK0	-0.0880713	0.394448	4	0.922	0.994	1.122	0.964	0.998	0.878	0.928	0.961
Lrrk2	Q5S006	-0.4925777	0.00046816	6	0.997	1.035	0.937	1.076	0.713	0.773	0.656	0.733
Lrrn4cl	Q3TYX2	-0.5918368	0.02809177	1	0.991	1.015	0.999	0.992	0.71	0.446	0.674	0.822
Lrsam1	Q80ZI6	-0.2819201	0.002753299	9	1.047	0.935	1.001	1	0.847	0.816	0.807	0.806
Lsg1	Q3UM18	0.06155026	0.5000801	6	0.964	1.011	0.998	1.042	0.969	1.07	1.19	0.961
Lsm1	Q8VC85	-0.1147192	0.2303823	2	0.961	1.043	0.99	0.97	1.007	0.927	0.8	0.927
Lsm12	Q9D0R8	0.09698338	0.1732438	3	1.048	0.933	1.089	0.928	1.153	0.984	1.059	1.08
Lsm14a	Q8K2F8	0.2572092	0.1954167	4	0.954	0.978	0.947	1.133	1.08	1.329	1.359	1.027
Lsm14b	Q8CGC4	0.02023747	0.87332	4	1.003	1.031	0.879	1.122	0.951	1.134	1.067	0.94
Lsm2	O35900	-0.04949823	0.6315025	1	0.863	1.23	0.919	0.961	0.79	1.102	1.071	0.876
Lsm3	P62311	0.3439996	0.4418577	1	0.937	1.085	1.177	0.667	1.797	0.77	1.007	1.333
Lsm4	Q9QXA5	0.01456025	0.9436173	4	1.019	1.177	0.838	1.008	0.841	1.206	1.219	0.817
Lsm6	P62313	0.0380245	0.8217611	4	0.945	1.208	0.868	0.948	0.887	1.266	1.176	0.746
Lsm7	Q9CQQ8	0.09939226	0.4060203	2	1.036	0.844	1.063	1.081	1.156	1.098	1.066	0.991
Lsm8	Q6ZWM4	0.3628594	0.4395366	3	0.875	1.085	1.203	0.715	1.786	0.753	1.024	1.424
Lss	Q8BLN5	0.3461565	0.000240731	22	1.001	0.961	1.003	1.062	1.291	1.246	1.286	1.296
Lta4h	P24527	-0.2542955	3.63E-05	20	1.039	0.997	0.991	0.989	0.883	0.835	0.817	0.832
Ltbp1	Q8CG19	-0.8588058	0.007886608	2	0.94	0.966	0.912	1.228	0.41	0.627	0.583	0.611
Ltbp2	O08999	-0.6335064	0.1673565	1	0.715	0.934	1.012	1.419	0.48	0.896	0.781	0.473
Ltbp3	Q61810	0.6210168	0.000703301	9	0.979	1	1.027	0.972	1.624	1.491	1.529	1.474
Ltc4s	Q60860	0.3459586	0.00386494	3	0.959	1.029	1.011	0.99	1.187	1.25	1.278	1.355
Ltn1	Q6A009	-0.1379302	0.04423833	5	1.035	1.015	1.025	0.983	0.864	0.924	0.976	0.924
Luc7l	Q9CYI4	0.2335699	0.02670483	6	0.965	1.054	1.013	0.917	1.164	1.121	1.17	1.188
Luc7l2	Q7TNC4	0.1434183	0.08380179	9	0.964	1.036	1.023	0.938	1.133	1.041	1.092	1.109
Luc7l3	Q5SUF2	0.03326555	0.5089432	8	1.005	0.997	1.025	0.96	1.03	0.962	1.019	1.069
Lum	P51885	0.1919105	0.4028389	1	0.905	1.216	0.994	0.814	1.125	1	1.075	1.288
Luzp1	Q8R4U7	-0.06212899	0.4349238	4	1.061	0.94	0.961	1	0.922	0.963	1.012	0.898
Lxn	P70202	0.2874491	0.04641868	3	0.963	1.126	1.012	0.854	1.248	1.15	1.256	1.173
Lyar	Q08288	0.3135613	0.005831371	6	0.879	1.052	0.999	1.082	1.128	1.332	1.299	1.227
Lypla1	P97823	0.1926904	0.06093969	5	0.96	1.125	0.942	0.955	1.146	1.145	1.188	1.072
Lypla2	Q9WTL7	-0.1730079	0.2125399	8	0.964	1.121	0.908	0.989	0.783	0.968	1.006	0.775
Lyplal1	Q3UFF7	0.001081616	0.9934583	4	0.95	1.148	0.909	0.993	0.885	1.184	1.124	0.81
Lyrm1	Q9CQB7	0.669986	0.01679446	1	0.965	1.108	0.969	0.939	1.829	1.387	1.525	1.593
Lyrm2	Q8R033	0.3848488	0.008398505	2	1.008	1.006	1.016	0.954	1.315	1.257	1.235	1.395
Lyrm4	Q8K215	-0.1514903	0.02446801	3	0.978	1.011	0.975	1.099	0.924	0.925	0.878	0.931
Lyrm7	Q9DA03	0.2828402	0.03388753	1	0.939	1.057	0.979	1.028	1.145	1.211	1.363	1.151
Lyrm9	Q3UN90	-0.2382057	0.03726511	2	1.003	1.073	0.913	1.032	0.845	0.895	0.877	0.792
Lyst	P97412	-0.0515952	0.6341004	5	1.021	1.007	0.955	1.059	0.877	1.107	1.015	0.901
Lyz1	P17897	-0.1287748	0.7615107	1	1.175	0.944	0.72	1.33	0.428	1.306	1.053	1.026
Lzic	Q8K3C3	0.497042	0.1006302	3	0.974	1.027	1.184	0.756	1.505	1.141	1.323	1.593
Lztfl1	Q9JHQ5	-0.2402332	0.2158122	10	0.938	1.025	1.125	0.804	0.895	0.716	0.814	0.87
